Country,malaria_deaths
Afghanistan,117
Algeria,0
Angola,12 437
Argentina,0
Armenia,0
Azerbaijan,0
Bangladesh,87
Belize,0
Benin,6 940
Bhutan,1
Bolivia (Plurinational State of),5
Botswana,0
Brazil,60
Burkina Faso,37 028
Burundi,4 876
Cabo Verde,0
Cambodia,393
Cameroon,12 301
Central African Republic,6 739
Chad,11 575 
China,0
Colombia,24
Comoros,126
Congo,1 951
Costa Rica,0
Côte d'Ivoire,12 502 
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,48 763
Djibouti,0
Dominican Republic,3
Ecuador,0
Egypt,0
El Salvador,0
Equatorial Guinea,1 067
Eritrea,85
Eswatini,1
Ethiopia,8 816
Gabon,460
Gambia,636
Georgia,0
Ghana,14 403
Guatemala,2
Guinea,11 578
Guinea-Bissau,660
Guyana,77
Haiti,149
Honduras,4
India,20 722
Indonesia,3 893
Iran (Islamic Republic of),0
Iraq,0
Kazakhstan,0
Kenya,11 990
Kyrgyzstan,0
Lao People's Democratic Republic,215
Liberia,2 354
Madagascar,4 670
Malawi,8 819 [7290 - 10400]
Malaysia,12
Mali,19 798 [15500 - 24100]
Mauritania,1 274 [1090 - 1460]
Mexico,0
Morocco,4
Mozambique,17 343 [14100 - 20600]
Myanmar,3 690 [230 - 7560]
Namibia,15 [0 - 40]
Nepal,6 [2 - 20]
Nicaragua,1 [0 - 2]
Niger,22 040 [16600 - 27400]
Nigeria,125 290 [98100 - 152000]
Oman,0
Pakistan,1 704 [230 - 4250]
Panama,1
Papua New Guinea,3 048 [110 - 8100]
Paraguay,0
Peru,7
Philippines,36 [2 - 70]
Republic of Korea,0
Rwanda,3 209 [2840 - 3580]
Sao Tome and Principe,7
Saudi Arabia,0
Senegal,4 256 [3740 - 4770]
Sierra Leone,20 678 [18200 - 23100]
Solomon Islands,89 [6 - 180]
Somalia,795 [20 - 1730]
South Africa,72
South Sudan,5 006 [4300 - 5710]
Sri Lanka,0
Sudan,2 543 [70 - 5690]
Suriname,0
Syrian Arab Republic,0
Tajikistan,0
Thailand,37
Timor-Leste,10 [1 - 20]
Togo,4 676 [3810 - 5540]
Turkey,0
Turkmenistan,0
Uganda,15 821 [12700 - 18900]
United Arab Emirates,0
United Republic of Tanzania,20 124 [17700 - 22600]
Uzbekistan,0
Vanuatu,12 [1 - 20]
Venezuela (Bolivarian Republic of),62 [10 - 110]
Viet Nam,40 [3 - 70]
Yemen,2 169 [70 - 4360]
Zambia,6 865 [5870 - 7860]
Zimbabwe,1 515 [40 - 2980]
